,place_id,reviews 2024,rev_prc,name,reviews,price_range,main_category,categories,query,latitude,longitude,category
2649,ChIJv-73BHXixUcReMXvxkUdROQ,49,0.0026859617387491,Misc. Store,170,,Winkel,"[""Winkel""]",stores in zuidas,52.3693823,4.8803732,Shopping
2650,ChIJO6McAWQMxkcRAxxaUuMxico,49,0.0026859617387491,Hondenstrand Gaasperplas,213,,Hondenpark,"[""Hondenpark""]",parks in bijlmer arena,52.3038013,4.9828228,Green Recreation
2651,ChIJHQ3e0i4JxkcRTfxnwkjJMcg,49,0.0026859617387491,Charging Bull Amsterdam,70,,Toeristische attractie,"[""Toeristische attractie""]",tourist attractions in negen straatjes,52.3742943,4.895622599999999,Cultural & Historic
2652,ChIJ6-JgZfEJxkcR5H-MDC9z1ms,49,0.0026859617387491,Coffeeshop Pacific,295,,Cannabiswinkel,"[""Cannabiswinkel""]",coffeeshops in de pijp,52.3530594,4.8847207,Cannabisshop
2654,ChIJTeC0KW0JxkcRE2kqz2-r38w,49,0.0026859617387491,Toko Bersama,140,$$$$$$$,Afhaalrestaurant,"[""Afhaalrestaurant"",""Aziatische kruidenierswinkel"",""Catering"",""Maaltijdbezorging""]",stores in de dapperbuurt,52.3630974,4.9287136,Dining & Cafes
2655,ChIJdbUywL8JxkcRAESeA4oWikU,49,0.0026859617387491,Amsterdam House Hotel,438,,Hotel,"[""Hotel""]",hotels in dapperbuurt,52.3677855,4.8964511,Hotel
2656,ChIJbQ50-mzjxUcRMsRYXiIUpL8,49,0.0026859617387491,Poppy's Restaurant Amsterdam Zuid,77,,Restaurant,"[""Restaurant"",""Brunchrestaurant"",""Koffiehuis"",""Cocktailbar"",""Evenementenlocatie"",""Lunchrestaurant""]",bars in zuid,52.3514427,4.847796,Dining & Cafes
2657,ChIJE5uV39wJxkcRRxKGQ7sIzKc,49,0.0026859617387491,Het Stuivertje,229,$$,Restaurant,"[""Restaurant""]",restaurants in de jordaan,52.3700361,4.8802625,Dining & Cafes
2660,ChIJ63lQw3AJxkcRzolNReyytxQ,49,0.0026859617387491,Kwekkeboom Banketbakkerij Oost,319,$$$$$$,Bakkerij,"[""Bakkerij"",""Koffiebar"",""Lunchrestaurant"",""Banketbakker"",""Patisserie"",""Broodjeswinkel""]",cafes in dapperbuurt,52.3565821,4.9271862,Dining & Cafes
2661,ChIJAWN17rgJxkcRCtOAk2UP9-s,49,0.0026859617387491,The Old Church Bar,550,$$$$$$$,Bar,"[""Bar"",""Cafe""]",bars in wallengebied,52.3739538,4.8974714,Dining & Cafes
2662,ChIJRacXecXjxUcRcNONpTSotw4,49,0.0026859617387491,Steakhouse Pizzeria Osdorperban,369,$$$$$$,Pizzeria,"[""Pizzeria""]",restaurants in osdorpplein,52.3623419,4.8003503,Dining & Cafes
2663,ChIJb_cUabQJxkcRWeyGqaefkT4,49,0.0026859617387491,A Lab,189,,Cultureel centrum,"[""Cultureel centrum"",""Gedeelde werkplek"",""Evenementenlocatie""]",event venues in haarlemmerbuurt,52.3842194,4.9029639,Cultural & Historic
2664,ChIJeZ3ffc8JxkcRjMPOftES7Dc,49,0.0026859617387491,lululemon,170,$$$,Sportkledingwinkel,"[""Sportkledingwinkel"",""Kinderkleding"",""Herenmode"",""Damesmode""]",stores in negen straatjes,52.3722391,4.8861497,Shopping
2665,ChIJD7G353ELxkcRnZhYb2fwFJQ,49,0.0026859617387491,Bar Boele,89,$$$$$$$,Bar,"[""Bar""]",bars in zuid,52.3346886,4.8633308,Dining & Cafes
2666,ChIJjwe7nwUKxkcRNVmPFRToTpA,49,0.0026859617387491,Doppio Espresso Amsterdam Zuidas,282,$$$$$$$,Espressobar,"[""Espressobar"",""Ontbijtrestaurant"",""Catering"",""Cocktailbar"",""Lunchrestaurant"",""Afhaalpizza"",""Cafe"",""Broodjeswinkel""]",bars in zuid,52.3368077,4.8727226,Dining & Cafes
2667,ChIJEZtepq0JxkcRnrDKBqOem2k,49,0.0026859617387491,Hotel Isis,461,,Hotel,"[""Hotel""]",hotels in dapperbuurt,52.384196,4.913409,Hotel
2668,ChIJQ_tKzrkJxkcRYKxi_rC_ghg,48,0.0026311461930603,Restaurant Vermeer,366,$$$$$$,Haute-cuisinerestaurant,"[""Haute-cuisinerestaurant""]",restaurants in de wallen,52.376537,4.900446,Dining & Cafes
2669,ChIJ0fPAn9TjxUcRNPO9qRH-5l0,48,0.0026311461930603,Toko Bandung,405,$$$$$$$,Indonesisch restaurant,"[""Indonesisch restaurant"",""Aziatische kruidenierswinkel"",""Bistro"",""Afhaalrestaurant""]",restaurants in osdorpplein,52.3540534,4.8109696,Dining & Cafes
2670,ChIJc8MGIjwJxkcRazomf2p5Mtg,48,0.0026311461930603,Zevenlandenhuizen,61,,Toeristische attractie,"[""Toeristische attractie""]",tourist attractions in leidseplein,52.3614847,4.877377,Cultural & Historic
2671,ChIJC9EQFvgJxkcRLGqfce1sovE,48,0.0026311461930603,coffeecompany,280,$$$$$$,Koffiebar,"[""Koffiebar""]",coffeeshops in museumkwartier,52.347302,4.8766543,Dining & Cafes
2672,ChIJ1-JAEekJxkcRv_DgPewSBRc,48,0.0026311461930603,Cafe Het Hok,401,$$$$$$$,Koffiehuis,"[""Koffiehuis"",""Bar""]",bars in leidseplein,52.3635018,4.8851128,Dining & Cafes
2673,ChIJk_8NWTYLxkcRSDVeIf8Zp10,48,0.0026311461930603,Cafe Jansen Bajeskwartier,76,,Restaurant,"[""Restaurant"",""Koffiehuis"",""Koffiebar""]",cafes in bijlmer arena,52.336964,4.9261598,Dining & Cafes
2674,ChIJX1aeAwsMxkcRRfp3aW7e_Ek,48,0.0026311461930603,NoLIMIT,318,,Cultureel centrum,"[""Cultureel centrum"",""Buurthuis""]",event venues in bijlmer arena,52.3234257,4.972556099999999,Cultural & Historic
2675,ChIJ96fyQ5oOxkcRzuXNqS61s50,48,0.0026311461930603,Theo van Goghpark,423,,Park,"[""Park"",""Toeristische attractie""]",activities in leidseplein,52.3496673,5.0065566,Green Recreation
2676,ChIJgYIyXpUJxkcRWfKA76Xdhps,48,0.0026311461930603,Titus Parrilla,407,$$$$$$$,Bar & Grill,"[""Bar & Grill""]",bars in rembrandtplein,52.3664569,4.8961058,Dining & Cafes
2678,ChIJlca9ivAIxkcRH3CSp1Lm3ms,48,0.0026311461930603,Primera,146,,Tabakswinkel,"[""Tabakswinkel"",""Boekwinkel"",""Sigarenwinkel"",""Kaartverkoper voor evenementen"",""Cadeauwinkel"",""Loterijwinkel"",""Nieuwskiosk"",""Kantoorboekhandel"",""Winkel"",""E-sigaretten en accessoires""]",stores in buikslotermeerplein,52.3982651,4.9366054,Shopping
2679,ChIJIViai7vjxUcRb3qfOnbjo2M,48,0.0026311461930603,CEO Coffee & Bubble Tea,111,,Bubbeltheewinkel,"[""Bubbeltheewinkel"",""Koffiebar"",""Afhaalrestaurant""]",cafes in osdorpplein,52.360735,4.78247,Shopping
2680,ChIJ9WHRsnEJxkcRLxnn7m3bO6I,48,0.0026311461930603,Parfumerie Douglas,173,,Parfumerie,"[""Parfumerie"",""Cosmeticawinkel"",""Winkel in modeaccessoires""]",stores in de dapperbuurt,52.3568752,4.929666,Shopping
2681,ChIJhf9SeKQJxkcR0Q-aYeQbhoc,48,0.0026311461930603,Arcam,261,,Museum,"[""Museum"",""Architect"",""Toeristische attractie""]",museums in bijlmer arena,52.3714469,4.9126523,Cultural & Historic
2684,ChIJb2UmEAoJxkcRI8DLP3SJqis,48,0.0026311461930603,Carstens Cafe,370,$$$$$$,Koffiehuis,"[""Koffiehuis"",""Restaurant""]",cafes in haarlemmerbuurt,52.3775329,4.8973923,Dining & Cafes
2685,ChIJI-wyTdgJxkcRInawwhIs5rg,48,0.0026311461930603,Miniso,72,,Winkel,"[""Winkel""]",stores in de leidseplein,52.3696534,4.8913403,Shopping
2686,ChIJe7RCTnAJxkcRu29oofdQMp4,47,0.0025763306473715,La Bottega by Chiara's Food - Italian Delicatessen Shop,130,,Italiaanse kruidenierswinkel,"[""Italiaanse kruidenierswinkel"",""Koffiebar"",""Kookles"",""Delicatessenwinkel"",""Evenementenlocatie"",""Cadeauwinkel"",""Afhaalrestaurant"",""Broodjeswinkel"",""Wijnhandel""]",cafes in zuidas,52.3509919,4.9038068,Shopping
2687,ChIJN9je63AJxkcREMha6V0Kjf4,47,0.0025763306473715,Safak Grill,345,$$$$$$,Turks restaurant,"[""Turks restaurant"",""Afhaalrestaurant""]",bars in de dapperbuurt,52.3563847,4.927759099999999,Dining & Cafes
2688,ChIJB4Q4uM8JxkcRnoR4PdOvBFE,47,0.0025763306473715,Eetcafe Koevoet,184,$$,Italiaans restaurant,"[""Italiaans restaurant""]",restaurants in de jordaan,52.379585,4.8853659,Dining & Cafes
2689,ChIJl2OshscJxkcRFODrHMjyXyo,47,0.0025763306473715,Hotel Damrak Inn,452,,Hotel,"[""Hotel""]",hotels in de wallen,52.3751147,4.8953469,Hotel
2690,ChIJexX30ecJxkcRTiP1T7f21wQ,47,0.0025763306473715,Weber Hotel,272,,Hotel,"[""Hotel""]",hotels in museumkwartier,52.3648862,4.8802743,Hotel
2691,ChIJvRY1BkoJxkcRQZm_m6bgeyg,47,0.0025763306473715,Kalemegdan,127,$$$$$$$,Bar,"[""Bar"",""Cafe""]",bars in oud-oost,52.3620252,4.9273965,Dining & Cafes
2693,ChIJQzQbQJMJxkcRRelrc5C_qoY,47,0.0025763306473715,Bar Theo,74,$$$$$$$,Bar,"[""Bar""]",bars in de jordaan,52.3729772,4.8782429,Dining & Cafes
2694,ChIJ_3MBOMXjxUcR_qTXHI8eEm0,47,0.0025763306473715,Viswinkel/Restaurant Saidia,236,,Viswinkel,"[""Viswinkel"",""Visrestaurant""]",restaurants in osdorpplein,52.3624245,4.8007771,Dining & Cafes
2695,ChIJ_5KwRnILxkcRBWZiMuM6O4A,47,0.0025763306473715,Vascobelo,211,$$$$$$$,Koffiehuis,"[""Koffiehuis""]",cafes in vondelpark,52.3368569,4.8682662,Dining & Cafes
2697,ChIJ5V4cM4rixUcR9ZwLb0cxBmM,47,0.0025763306473715,Backspace Escape Rooms,355,,Escaperoomcentrum,"[""Escaperoomcentrum""]",activities in sloterdijk,52.3923698,4.8515183,Activities
2700,ChIJxdJGCvMJxkcRXhFJ-PIOjS0,47,0.0025763306473715,Cafe Hermes,292,$$$$$$$,Bar,"[""Bar"",""Koffiehuis""]",bars in museumkwartier,52.3527,4.8892,Dining & Cafes
2701,ChIJA4YuAOkJxkcR5qsgD9g4-fc,47,0.0025763306473715,La Luna Steakhouse Grill,731,$$,Steakhouse,"[""Steakhouse""]",bars in leidseplein,52.3643105,4.884183999999999,Dining & Cafes
2702,ChIJrRr1R8TjxUcRqJ2wwk-d4uA,47,0.0025763306473715,Coffee & Juices,100,$$$$$$,Koffiebar,"[""Koffiebar""]",cafes in sloterdijk,52.3746123,4.8594867,Dining & Cafes
2703,ChIJ18NoILgJxkcRrUqf5gnBZgw,47,0.0025763306473715,VIC's BAR,191,$$$$$$$,Bar,"[""Bar"",""Lounge""]",bars in wallengebied,52.377306,4.897846,Dining & Cafes
2704,ChIJzeKdC8AJxkcR01jCuc6AJfw,47,0.0025763306473715,Hotel Residence Le Coin,388,,Hotel,"[""Hotel""]",hotels in negen straatjes,52.3678912,4.8943866,Hotel
2705,ChIJeahCMQoJxkcRNHIDfwVqZE0,47,0.0025763306473715,Mascini,112,,Theater,"[""Theater""]",event venues in nieuwmarkt,52.3755305,4.9006773,Event venue
2706,ChIJuVqzx7kJxkcR_NeljehU6TQ,46,0.0025215151016828,De Roode Laars,293,$$$$$$$,Cafe,"[""Cafe""]",bars in wallengebied,52.3759589,4.9005148,Dining & Cafes
2707,ChIJlUWfL68LxkcR8DfHAkio2RA,46,0.0025215151016828,GREEN gastrobar,103,$$$$$$,Restaurant,"[""Restaurant""]",restaurants in zuidas,52.3379413,4.8773689,Dining & Cafes
2708,ChIJA-W73fIJxkcRkH56fqa6K_E,46,0.0025215151016828,FEBO Amsterdam - Linnaeusstraat,305,$$$$$$,Snackbar,"[""Snackbar""]",restaurants in dapperbuurt,52.3560565,4.9274866,Dining & Cafes
2709,ChIJJ-SnGnXixUcRCcrnMREovhg,46,0.0025215151016828,Hotel Larende,347,,Hotel,"[""Hotel""]",hotels in sloterdijk,52.3698375,4.8660306,Hotel
2710,ChIJE0bppekJxkcRijFvgNDqaYQ,46,0.0025215151016828,Hotel 717,168,,Hotel,"[""Hotel""]",hotels in negen straatjes,52.3648077,4.8853962,Hotel
2711,ChIJMUJTVzwKxkcR3C-PLbhF_0A,46,0.0025215151016828,Rosarium Amsterdam,262,$$,Evenementenlocatie,"[""Evenementenlocatie"",""Restaurant""]",event venues in zuidas,52.331946,4.8915132,Event venue
2712,ChIJtYrcg3oJxkcRIJqaKAYWsLs,46,0.0025215151016828,coffeecompany,225,$$$$$$,Koffiebar,"[""Koffiebar"",""Koffiewinkel""]",cafes in dapperbuurt,52.3543552,4.929369,Dining & Cafes
2714,ChIJ3d9HP8UJxkcRjTZAEeg6yNE,46,0.0025215151016828,Cafe De Twee Zwaantjes,380,$$,Koffiehuis,"[""Koffiehuis"",""Bar""]",bars in de jordaan,52.3763567,4.8842165,Dining & Cafes
2715,ChIJ24k3pfoJxkcR3jYtGVRWBj8,46,0.0025215151016828,Cafe Viotta,543,$$$$$$$,Restaurant,"[""Restaurant"",""Koffiebar"",""Lunchrestaurant"",""Cafe""]",bars in museumkwartier,52.3561091,4.8793851,Dining & Cafes
2718,ChIJNffiqs0JxkcR0BXZ7M5ZZZ0,46,0.0025215151016828,Joe's Hot-Shop,182,$$$$$$,Restaurant,"[""Restaurant""]",restaurants in haarlemmerbuurt,52.3801626,4.8927594,Dining & Cafes
2719,ChIJm3lqbxgJxkcRzSD0-2DEbks,46,0.0025215151016828,Benelux Bar,68,,Bar,"[""Bar""]",bars in buikslotermeerplein,52.3839354,4.9217292,Dining & Cafes
2720,ChIJdVqmxusJxkcRleV5jy4rI5U,46,0.0025215151016828,STACH Cafe,327,$$$$$$,Koffiehuis,"[""Koffiehuis""]",cafes in leidseplein,52.3633538,4.8885427,Dining & Cafes
2722,ChIJ___iUrgJxkcRv-EtjgQSKWs,46,0.0025215151016828,Facade Hotel Amsterdam,699,,Hotel,"[""Hotel""]",hotels in de wallen,52.3750013,4.8992383,Hotel
2723,ChIJ4eUObuUJxkcRBO8BJ_uZ1vY,46,0.0025215151016828,TAIKO,321,$$$$$$,Aziatisch restaurant,"[""Aziatisch restaurant"",""Restaurant""]",restaurants in museumkwartier,52.3585521,4.8794723,Dining & Cafes
2724,ChIJjXTkE-kJxkcR_YKONOm5KF8,46,0.0025215151016828,Porto Carrara,390,$$$$$$$,Italiaans restaurant,"[""Italiaans restaurant""]",restaurants in leidseplein,52.3634139,4.8852648,Dining & Cafes
2725,ChIJJcCcnSsIxkcRjYN6XwxDrk4,46,0.0025215151016828,Bagels & Beans,247,$$$$$$$,Bagelwinkel,"[""Bagelwinkel"",""Ontbijtrestaurant"",""Brunchrestaurant"",""Koffiebar"",""Koffiewinkel"",""Smoothiewinkel"",""Veganistisch restaurant"",""Vegetarisch restaurant""]",cafes in haarlemmerbuurt,52.3914297,4.8778622,Shopping
2726,ChIJNwqxe-QJxkcRpl2yUxV_sks,46,0.0025215151016828,Standbeeld Joost van den Vondel,155,,Historisch herkenningspunt,"[""Historisch herkenningspunt""]",monuments in de pijp,52.3600162,4.8739976,Cultural & Historic
2727,ChIJzVvyy58JxkcRdoG8m1Wy-Ik,46,0.0025215151016828,Restaurant Elkaar,275,$$$$$$,Restaurant,"[""Restaurant""]",restaurants in oosterparkbuurt,52.3632691,4.9192148,Dining & Cafes
2728,ChIJZeN-y5cLxkcRIDzxH_RkPpk,46,0.0025215151016828,Cafe Baco,235,$$$$$$$,Bar,"[""Bar""]",bars in bijlmer arena,52.3138673,4.9394102,Dining & Cafes
2729,ChIJSVnzsMMJxkcRmrCfR7-rkng,46,0.0025215151016828,Rapha Cycle Club Amsterdam,338,,Sportkledingwinkel,"[""Sportkledingwinkel"",""Koffiehuis"",""Outlet-winkelcentrum"",""Fietsservices""]",shopping malls in negen straatjes,52.3703575,4.8861,Shopping
2730,ChIJT1B5fNsJxkcRXfXhAFWHMf0,46,0.0025215151016828,Warhammer store Amsterdam West,317,$$,Hobbywinkel,"[""Hobbywinkel"",""Modelbouwwinkel"",""Speelgoedwinkel"",""Videogamewinkel""]",stores in de jordaan,52.3729819,4.8799779,Shopping
2731,ChIJyzufPukJxkcRSRJt9R0CA04,46,0.0025215151016828,Whiskycafe L&B,832,$$$$$$$,Bar,"[""Bar""]",bars in leidseplein,52.3627657,4.8851832,Dining & Cafes
2732,ChIJs58wK0EJxkcRnfOdKEtmH1M,46,0.0025215151016828,Diptyque Amsterdam,95,,Parfumerie,"[""Parfumerie"",""Kaarsenwinkel""]",stores in negen straatjes,52.3690937,4.8830048,Shopping
2733,ChIJcbvgWrgJxkcRL47r7ZFik0o,45,0.002466699555994,"Cafe ""Wiener""",246,$$,Koffiehuis,"[""Koffiehuis""]",cafes in de wallen,52.3750725,4.8984007,Dining & Cafes
2734,ChIJgVjzwHwJxkcRCcDA7oUMGfs,45,0.002466699555994,Half Moon Lounge,73,,Bar,"[""Bar"",""Cocktailbar"",""Lounge""]",bars in museumkwartier,52.3516956,4.8717063,Dining & Cafes
2735,ChIJK6R_FNDjxUcRfUkpzQibLOY,45,0.002466699555994,Coffee Blends,311,$$$$$$,Koffiebar,"[""Koffiebar""]",bars in osdorpplein,52.3586853,4.8014975,Dining & Cafes
2736,ChIJWSsVX94JxkcRWXG0-TC6tog,45,0.002466699555994,Mirchi Restaurant,221,$$$$$$$,Restaurant,"[""Restaurant"",""Maaltijdbezorging"",""Afhaalrestaurant""]",bars in indische buurt,52.3636165,4.935168,Dining & Cafes
2737,ChIJ97PizecJxkcRdsGKZB3EOXg,45,0.002466699555994,Hotel Titus,355,,Hotel,"[""Hotel""]",hotels in dapperbuurt,52.3649617,4.8800475,Hotel
2738,ChIJpT40kCsJxkcRfZyhYM4yUV0,45,0.002466699555994,Stars Burgers,272,$$$$$$$,Hamburgerrestaurant,"[""Hamburgerrestaurant""]",restaurants in nieuwmarkt,52.3707912,4.9007759,Dining & Cafes
2741,ChIJJVfR19wJxkcReTkw748dBzo,45,0.002466699555994,Restaurant Palladio,285,$$,Restaurant,"[""Restaurant""]",restaurants in negen straatjes,52.36993,4.8811702,Dining & Cafes
2742,ChIJjYr468cJxkcRzHm6S2bAGGs,45,0.002466699555994,The Cuckoo's Nest,159,$$$$$$$,Homobar,"[""Homobar"",""Gaynachtclub"",""Cafe""]",bars in haarlemmerbuurt,52.3763745,4.8950105,Dining & Cafes
2743,ChIJdQjy2QbixUcRttmN6ZokN_M,45,0.002466699555994,Aadam Wilhelmina Hotel,430,,Hotel,"[""Hotel"",""Restaurant""]",hotels in museumkwartier,52.3527042,4.861807,Hotel
2745,ChIJAYgX9ugJxkcRTC293o7AxTo,45,0.002466699555994,New York Steak House,351,$$,Restaurant,"[""Restaurant"",""Steakhouse""]",restaurants in leidseplein,52.3645091,4.8830702,Dining & Cafes
2746,ChIJBXvWVsAJxkcR-auwNi9aei4,45,0.002466699555994,Ruiterstandbeeld Koningin Wilhelmina,422,,Historisch herkenningspunt,"[""Historisch herkenningspunt"",""Toeristische attractie""]",monuments in buikslotermeerplein,52.3691613,4.8923009,Cultural & Historic
2747,ChIJ5f5ndVIIxkcRyXNHQFRVtRg,45,0.002466699555994,Winkelcentrum Mosveld,84,,Winkelcentrum,"[""Winkelcentrum""]",shopping malls in negen straatjes,52.3912555,4.9122102,Shopping
2749,ChIJIYdfx1jixUcR0vhcOjJnUIM,45,0.002466699555994,The Doner Company,245,$$$$$$,Kebabzaak,"[""Kebabzaak""]",restaurants in sloterdijk,52.3889686,4.8386008,Dining & Cafes
